GeoFips,GeoName,GDP2010
31005,"Arthur, NE",8662
31115,"Loup, NE",11164
30069,"Petroleum, MT",12735
31117,"McPherson, NE",12919
31009,"Blaine, NE",15803
28055,"Issaquena, MS",17722
31075,"Grant, NE",18307
30037,"Golden Valley, MT",18793
30011,"Carter, MT",21736
31103,"Keya Paha, NE",21883
31113,"Logan, NE",22838
30079,"Prairie, MT",24411
13265,"Taliaferro, GA",24544
21201,"Robertson, KY",25304
31171,"Thomas, NE",25788
31091,"Hooker, NE",26077
31007,"Banner, NE",26742
48345,"Motley, TX",27794
13125,"Glascock, GA",28035
8111,"San Juan, CO",31112
2282,"Yakutat City and Borough, AK*",31582
49031,"Piute, UT",32210
41069,"Wheeler, OR",32823
48155,"Foard, TX",34440
46095,"Mellette, SD",35477
13239,"Quitman, GA",36605
16033,"Clark, ID",39204
46075,"Jones, SD",39204
26083,"Keweenaw, MI",40908
48011,"Armstrong, TX",41671
30075,"Powder River, MT",42397
16025,"Camas, ID",42790
30109,"Wibaux, MT",42855
31165,"Sioux, NE",43695
30033,"Garfield, MT",44681
8053,"Hinsdale, CO",44941
13101,"Echols, GA",46371
46137,"Ziebach, SD",46626
32009,"Esmeralda, NV",46855
31049,"Deuel, NE",48907
48327,"Menard, TX",49425
8079,"Mineral, CO",49492
21189,"Owsley, KY",49649
29227,"Worth, MO",51109
35011,"De Baca, NM",51517
30059,"Meagher, MT",52188
46063,"Harding, SD",52295
46021,"Campbell, SD",52360
13307,"Webster, GA",53193
48045,"Briscoe, TX",54895
51091,"Highland, VA",55365
46071,"Jackson, SD",55527
49009,"Daggett, UT",56692
31085,"Hayes, NE",58522
2105,"Hoonah-Angoon Census Area, AK*",59275
31069,"Garden, NE",59633
48385,"Real, TX",59641
48243,"Jeff Davis, TX",59644
20049,"Elk, KS",59788
38087,"Slope, ND",60156
31077,"Greeley, NE",61370
30107,"Wheatland, MT",62373
8023,"Costilla, CO",63615
17151,"Pope, IL",63824
46007,"Bennett, SD",64588
49033,"Rich, UT",65211
30039,"Granite, MT",65524
38083,"Sheridan, ND",66899
31149,"Rock, NE",66916
46069,"Hyde, SD",67289
31183,"Wheeler, NE",67342
13061,"Clay, GA",67517
38033,"Golden Valley, ND",67626
48271,"Kinney, TX",67951
31071,"Garfield, NE",68019
38027,"Eddy, ND",68036
20019,"Chautauqua, KS",69274
8057,"Jackson, CO",69637
46089,"McPherson, SD",69858
29197,"Schuyler, MO",69867
20033,"Comanche, KS",69957
21063,"Elliott, KY",70071
2275,"Wrangell City and Borough, AK*",70084
48119,"Delta, TX",70102
47175,"Van Buren, TN",70251
35003,"Catron, NM",70843
30103,"Treasure, MT",71142
2164,"Lake and Peninsula Borough, AK",71281
54105,"Wirt, WV",71344
20207,"Woodson, KS",72068
2230,"Skagway Municipality, AK*",73201
31073,"Gosper, NE",73219
38037,"Grant, ND",73438
47067,"Hancock, TN",74066
30045,"Judith Basin, MT",74638
53069,"Wahkiakum, WA",74641
46055,"Haakon, SD",75419
8061,"Kiowa, CO",75463
38007,"Billings, ND",75475
28125,"Sharkey, MS",75568
51045,"Craig, VA",76843
49055,"Wayne, UT",77433
31163,"Sherman, NE",77600
21165,"Menifee, KY",77733
47137,"Pickett, TN",77907
31015,"Boyd, NE",78561
20089,"Jewell, KS",79655
13007,"Baker, GA",79726
46049,"Faulk, SD",80207
20017,"Chase, KS",80247
17069,"Hardin, IL",80539
30061,"Mineral, MT",80726
48101,"Cottle, TX",81999
6003,"Alpine, CA",82178
31133,"Pawnee, NE",82215
48087,"Collingsworth, TX",83128
46097,"Miner, SD",83526
38047,"Logan, ND",84547
37177,"Tyrrell, NC",84879
40055,"Greer, OK",85638
20071,"Greeley, KS",85983
21237,"Wolfe, KY",86124
46017,"Buffalo, SD",87135
31061,"Franklin, NE",87378
16003,"Adams, ID",87873
8025,"Crowley, CO",89077
17013,"Calhoun, IL",89128
38043,"Kidder, ND",89623
48319,"Mason, TX",89761
46031,"Corson, SD",89772
2100,"Haines Borough, AK",90434
5025,"Cleveland, AR",90717
21181,"Nicholas, KY",91636
38001,"Adams, ND",91969
