Density,Land Area(Km2),GDP,Life,Country,Cases,Deaths,Population,continent,capital
62.48 ,652230.00 ,19101353833.00 ,64.5,Afghanistan,234174,7996,40754388,Asia,468.6944099
99.71 ,28748.00 ,15278077447.00 ,78.5,Albania,334863,3605,2866374,Europe,5330.106067
19.04 ,2381741.00 ,169988236398.00 ,76.7,Algeria,272010,6881,45350148,Africa,3748.350202
165.52 ,468.00 ,3154057987.00 ,72.2,Andorra,48015,165,77463,Europe,40716.96148
28.10 ,1246700.00 ,94635415870.00 ,60.8,Angola,107327,1937,35027343,Africa,2701.758334
167.36 ,91.00 ,416000000.00 ,72.2,Anguilla,3904,12,15230,North America,27314.51083
224.63 ,443.00 ,1727759259.00 ,76.9,Antigua and Barbuda,9106,146,99509,North America,17362.84415
16.55 ,2780400.00 ,449663446954.00 ,76.5,Argentina,10128845,130841,46010234,South America,9773.118019
99.92 ,29743.00 ,13672802158.00 ,74.9,Armenia,451831,8777,2971966,Europe,4600.591715
597.83 ,180.00 ,3650000000.00 ,72.2,Aruba,44224,292,107609,North America,33919.09599
3.37 ,7741220.00 ,1392680589329.00 ,82.7,Australia,11853144,24414,26068792,Oceania,53423.28825
108.10 ,83871.00 ,446314739528.00 ,81.6,Austria,6081287,22542,9066710,Europe,49225.65512
118.94 ,86600.00 ,39207000000.00 ,72.9,Azerbaijan,835234,10400,10300205,Europe,3806.429095
28.86 ,13880.00 ,12827000000.00 ,73.8,Bahamas,38084,844,400516,North America,32026.18622
2332.00 ,765.00 ,38574069149.00 ,77.2,Bahrain,729549,1574,1783983,Asia,21622.44211
1130.85 ,148460.00 ,302571254131.00 ,72.3,Bangladesh,2049377,29493,167885689,Asia,1802.245659
669.82 ,430.00 ,5209000000.00 ,79.1,Barbados,110578,648,288023,North America,18085.36124
45.44 ,207600.00 ,63080457023.00 ,74.2,Belarus,994037,7118,9432800,Europe,6687.352326
382.22 ,30528.00 ,529606710418.00 ,81.6,Belgium,4861695,34376,11668278,Europe,45388.59208
17.95 ,22966.00 ,1879613600.00 ,74.5,Belize,71409,688,412190,North America,4560.065989
113.52 ,112622.00 ,14390709095.00 ,61.5,Benin,28036,163,12784726,Africa,1125.617326
863.86 ,71.70 ,7500000000.00 ,72.2,Bermuda,18860,165,61939,North America,121086.8758
20.52 ,38394.00 ,2446674101.00 ,71.5,Bhutan,62697,21,787941,Asia,3105.148864
10.92 ,1098581.00 ,40895322865.00 ,71.2,Bolivia,1212131,22407,11992656,South America,3410.030511
63.47 ,51197.00 ,20047848435.00 ,77.3,Bosnia and Herzegovina,403615,16388,3249317,Europe,6169.86537
4.20 ,581730.00 ,18340510789.00 ,69.3,Botswana,330638,2801,2441162,Africa,7513.024858
25.29 ,8515770.00 ,1839758040766.00 ,75.7,Brazil,38743918,711380,215353593,South America,8542.964225
199.97 ,153.00 ,1027000000.00 ,72.2,British Virgin Islands,7392,64,30596,North America,33566.47928
77.26 ,5765.00 ,13469422941.00 ,75.7,Brunei,343719,225,445431,Asia,30239.07842
61.73 ,110879.00 ,86000000000.00 ,74.9,Bulgaria,1339851,38748,6844597,Europe,12564.65501
80.61 ,274200.00 ,15745810235.00 ,61.2,Burkina Faso,22114,400,22102838,Africa,712.3886188
453.64 ,27830.00 ,3012334882.00 ,61.2,Burundi,54721,38,12624840,Africa,238.6038066
140.76 ,4033.00 ,1981845741.00 ,72.8,Cabo Verde,64477,417,567678,Africa,3491.144172
94.84 ,181035.00 ,27089389787.00 ,69.6,Cambodia,139103,3056,17168639,Asia,1577.841423
58.71 ,475440.00 ,38760467033.00 ,58.9,Cameroon,125379,1974,27911548,Africa,1388.689263
3.84 ,9984670.00 ,1736425629520.00 ,81.9,Canada,4946090,59034,38388419,North America,45233.05921
82.75 ,322.00 ,725000000.00 ,72.2,Caribbean Netherlands,11682,38,26647,North America,27207.56558
259.76 ,259.00 ,4780000000.00 ,72.2,Cayman Islands,31472,37,67277,North America,71049.54145
8.05 ,622984.00 ,2220307369.00 ,52.8,Central African Republic,15440,113,5016678,Africa,442.5851867
13.56 ,1284000.00 ,11314951343.00 ,54,Chad,7701,194,17413580,Africa,649.7774348
891.23 ,198.00 ,74589.10 ,72.2,Channel Islands,101717,228,176463,Europe,0.422689742
25.46 ,756096.00 ,282318159745.00 ,80,Chile,5384853,64497,19250195,South America,14665.72987
150.93 ,9596960.00 ,19910000000000.00 ,77,China,503302,5272,1448471400,Asia,13745.52511
45.23 ,1138910.00 ,323802808108.00 ,77.1,Colombia,6400173,143200,51512762,South America,6285.875491
406.00 ,2235.00 ,1185728677.00 ,64.1,Comoros,9109,161,907419,Africa,1306.704705
16.95 ,342000.00 ,10820591131.00 ,64.3,Republic of the Congo,25375,386,5797805,Africa,1866.325468
74.23 ,236.70 ,384000000.00 ,72.2,Cook Islands,7203,2,17571,Oceania,21854.19157
101.42 ,51100.00 ,61773944174.00 ,80.1,Costa Rica,1238883,9428,5182354,North America,11920.0549
71.73 ,56594.00 ,60415553039.00 ,78.1,Croatia,1309728,18687,4059286,Europe,14883.2955
101.98 ,110860.00 ,100023000000.00 ,78.7,Cuba,1115251,8530,11305652,North America,8847.167771
372.81 ,444.00 ,5500000000.00 ,72.2,Cura_ao,45986,295,165529,North America,33226.80618
132.24 ,9251.00 ,24564647935.00 ,80.8,Cyprus,681110,1365,1223387,Europe,20079.21282
136.14 ,78867.00 ,246489245495.00 ,79,Czechia,4759041,43517,10736784,Europe,22957.45593
40.62 ,2344858.00 ,47319624204.00 ,60.4,Democratic Republic of the Congo,99338,1468,95240792,Africa,496.8419856
135.40 ,43094.00 ,348078018464.00 ,81,Denmark,3183756,8814,5834950,Europe,59653.98478
43.80 ,23200.00 ,3318716359.00 ,66.6,Djibouti,15690,189,1016097,Africa,3266.141283
96.33 ,751.00 ,596033333.00 ,76.6,Dominica,16038,74,72344,North America,8238.877212
227.17 ,48670.00 ,88941298258.00 ,73.9,Dominican Republic,675890,4384,11056370,North America,8044.348937
63.88 ,283561.00 ,107435665000.00 ,76.8,Ecuador,1070188,36043,18113361,South America,5931.293756
106.00 ,1001450.00 ,303175127598.00 ,71.8,Egypt,516023,24613,106156692,Africa,2855.921015
311.32 ,21041.00 ,27022640000.00 ,73.1,El Salvador,201855,4230,6550389,North America,4125.348891
53.36 ,28051.00 ,11026774945.00 ,58.4,Equatorial Guinea,17229,183,1496662,Africa,7367.578615
31.14 ,117600.00 ,2065001626.00 ,65.9,Eritrea,10189,103,3662244,Africa,563.8623822
29.23 ,45228.00 ,31386949981.00 ,78.2,Estonia,628070,3001,1321910,Europe,23743.63609
68.23 ,17364.00 ,3791304348.00 ,72.2,Eswatini,75191,1427,1184817,Africa,3199.907115
109.40 ,1104300.00 ,96107662398.00 ,66.2,Ethiopia,501157,7574,120812698,Africa,795.5096111
35.34 ,1393.00 ,3126000000.00 ,72.2,Faeroe Islands,34658,28,49233,Europe,63493.99793
0.29 ,12173.00 ,228500000.00 ,72.2,Falkland Islands,1930,,3539,South America,64566.26166
49.77 ,18274.00 ,5535548972.00 ,67.3,Fiji,69117,885,909466,Oceania,6086.592541
16.43 ,338145.00 ,268761201365.00 ,81.7,Finland,1516117,11958,5554960,Europe,48382.20282
101.87 ,643801.00 ,2715518274227.00 ,82.5,France,40138560,167642,65584518,Europe,41404.86744
3.74 ,84000.00 ,4972580000.00 ,72.2,French Guiana,98041,420,314169,South America,15827.7233
68.19 ,4167.00 ,6020000000.00 ,72.2,French Polynesia,79254,650,284164,Oceania,21184.94954
8.71 ,267667.00 ,16657960228.00 ,66.2,Gabon,49051,307,2331533,Africa,7144.638411
226.41 ,11300.00 ,1763819048.00 ,61.7,Gambia,12626,372,2558482,Africa,689.4006086
56.94 ,69700.00 ,17743195770.00 ,73.6,Georgia,1861665,17132,3968738,Europe,4470.740011
234.95 ,357022.00 ,3845630030824.00 ,80.9,Germany,38828995,183027,83883596,Europe,45844.83992
